judge,method,acc,ece,brier,rstar_plug
Qwen2.5-7B-Instruct,raw,0.583,0.22105114215444388,0.30923307006203177,0.21901298594720564
Qwen2.5-7B-Instruct,platt,0.57,0.02647665618501919,0.23823903524359324,0.4216445149970319
Qwen2.5-7B-Instruct,temperature,0.58,0.03084602319908807,0.23779090441727158,0.4259008713687157
Qwen2.5-7B-Instruct,isotonic,0.56,0.03410462000211854,0.2409076397399752,0.40987832914318845
Qwen2.5-7B-Instruct,beta,0.569,0.028929698793429236,0.2379067765971514,0.42374485190229905
Mistral-7B-Instruct-v0.3,raw,0.578,0.1348036845443977,0.2693150870818867,0.2947692728133877
Mistral-7B-Instruct-v0.3,platt,0.567,0.02419542691019806,0.23776019899350911,0.42276220650749874
Mistral-7B-Instruct-v0.3,temperature,0.578,0.03139819576009524,0.23721293382872335,0.4252260372381609
Mistral-7B-Instruct-v0.3,isotonic,0.57,0.03711805246450448,0.23847543770638077,0.4116589058913448
Mistral-7B-Instruct-v0.3,beta,0.548,0.03370428849931494,0.2373569141571683,0.4217536157561726
granite-3.0-8b-instruct,raw,0.587,0.1694191706216222,0.28038560249412753,0.24358082937837772
granite-3.0-8b-instruct,platt,0.575,0.012994737497406365,0.23747542488426993,0.41974705575570875
granite-3.0-8b-instruct,temperature,0.587,0.01742076404624541,0.2370138355858391,0.42163767343530867
granite-3.0-8b-instruct,isotonic,0.595,0.04609588427844934,0.23818614220795029,0.3968544393953314
granite-3.0-8b-instruct,beta,0.572,0.010612061923004384,0.23764465809008067,0.41802484108163146
OLMo-7B-Instruct-hf,raw,0.518,0.14832122644088763,0.29738899397274826,0.33267877355911235
OLMo-7B-Instruct-hf,platt,0.512,0.02251477984497404,0.24846148323601802,0.4700822711919444
OLMo-7B-Instruct-hf,temperature,0.518,0.005875774144981196,0.24814738976122983,0.47656393187261664
OLMo-7B-Instruct-hf,isotonic,0.508,0.04297118345805175,0.24975522608282585,0.45959583147852606
OLMo-7B-Instruct-hf,beta,0.515,0.022064230659748933,0.2484647544650121,0.47115879669011335
falcon-7b-instruct,raw,0.5185185185185185,0.02088285028514628,0.25120648235783677,0.4699387577343324
falcon-7b-instruct,platt,0.4744744744744745,0.04015770306518546,0.2513690010508182,0.48536782246034
falcon-7b-instruct,temperature,0.5185185185185185,0.01940950156930815,0.2505848219179538,0.49619232239940475
falcon-7b-instruct,isotonic,0.4934934934934935,0.034273909172639005,0.2537886338276914,0.47123159633286654
falcon-7b-instruct,beta,0.4644644644644645,0.05251501413805587,0.25327247386380985,0.48101851939547763
